GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C12/25-26,Regular,14/05/2025,5250,Chhattisgarh,No,5000,0,125,125,0,May'25,10/06/2025,Yes,,100%,E-Invoice,7673280d56639b29c83620454968a6d771a212d9980cec96f1a93137d9d958a5,14/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C13/25-26,Regular,14/05/2025,288,Chhattisgarh,No,273.96,0,6.85,6.85,0,May'25,10/06/2025,Yes,,100%,E-Invoice,e6726653b978b49d54bc4fd82d268b0158b8f687f49aba4529e9d7098a2a646f,14/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C14/25-26,Regular,18/05/2025,4594,Chhattisgarh,No,4375,0,109.38,109.38,0,May'25,10/06/2025,Yes,,100%,E-Invoice,16d0c0df2f91411275010f06a8b56626dbb1209819504281d94cfaa1048fdfa9,21/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C15/25-26,Regular,18/05/2025,19766,Chhattisgarh,No,18825,0,470.63,470.63,0,May'25,10/06/2025,Yes,,100%,E-Invoice,906d4d903a6eba0b2c419006d0bc7861f1e45bed70bbd99050b8e5a4c2723776,21/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C17/25-26,Regular,25/05/2025,625,Chhattisgarh,No,595,0,14.88,14.88,0,May'25,10/06/2025,Yes,,100%,E-Invoice,d2fc3c10dc7eef0bef3772983bdd3091654f4e04a29d3c1b6a4a10d1590adafc,27/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C18/25-26,Regular,25/05/2025,5675,Chhattisgarh,No,5405,0,135.13,135.13,0,May'25,10/06/2025,Yes,,100%,E-Invoice,14b04252c6ff151a2d7920f5d50cb0b5af32f4f7445adc1df76851f385fe2f1d,27/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C19/25-26,Regular,27/05/2025,2667,Chhattisgarh,No,2540,0,63.51,63.51,0,May'25,10/06/2025,Yes,,100%,E-Invoice,c7ab3f73ec8b6156197aca4450418dfc163030d4ecd5df0a77a915cd70a4efb4,30/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C20/25-26,Regular,27/05/2025,567,Chhattisgarh,No,540,0,13.5,13.5,0,May'25,10/06/2025,Yes,,100%,E-Invoice,540148166a2d4a74cb868fd39ec1d7cbb6b1bd236205068d2deffe6e81b1f589,30/05/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C21/25-26,Regular,31/05/2025,1575,Chhattisgarh,No,1500,0,37.5,37.5,0,May'25,10/06/2025,Yes,,100%,E-Invoice,68d1d002c6c5d7f039b4b552be1ac9cfc90d3271cb287529318ae65bb9c81931,02/06/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C22/25-26,Regular,31/05/2025,18900,Chhattisgarh,No,18000,0,450,450,0,May'25,10/06/2025,Yes,,100%,E-Invoice,5ccd702d845f73750e7d8146c6fad3019efbbd037759a16b30d0d13a2e3b9048,02/06/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C23/25-26,Regular,31/05/2025,37221,Chhattisgarh,No,35449,0,886.23,886.23,0,May'25,10/06/2025,Yes,,100%,E-Invoice,ad84ba5dc0b17884d0fc6d52561d3af8e43882eab586406a983e5def699f669b,02/06/2025
22AAATI0884Q1ZC,INDIAN COFEE WORKERS COOPERATIVE SOCIETIES LIMITED,NIT/C9/25-26,Regular,10/05/2025,13493,Chhattisgarh,No,12850,0,321.25,321.25,0,May'25,10/06/2025,Yes,,100%,E-Invoice,be6c72387bc974c19957d862b2e7dfb9e0cd2066a566e845fd7ccfba54ecd056,14/05/2025
24HLTPS7722C1ZN,SYGMOS FINE CHEM,5,Regular,01/05/2025,8614,Chhattisgarh,No,7300,1314,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AAFFI8563D1ZJ,IDEAL CHEMICALS,2025-2026/0045,Regular,01/05/2025,2962,Chhattisgarh,No,2510,0,225.9,225.9,0,May'25,11/06/2025,Yes,,100%,,,
22AAGCS0166A2Z0,SINGHANIA SAROVAR PORTICO,BQ6641BIL0000037,Regular,04/05/2025,66150,Chhattisgarh,No,63000,0,1575,1575,0,May'25,04/06/2025,Yes,,100%,E-Invoice,0544725c45b26864f1d50d5cc7ea8ba1dade0164a161010a8bceac0247e90acb,05/05/2025
